iter	Accuracy	MultiClass
0	0.6316670789	1.7792188
1	0.7057421916	1.76469654
2	0.7544854407	1.750645813
3	0.7678849919	1.736997895
4	0.7902816094	1.724008148
5	0.8136934982	1.710563583
6	0.8193199302	1.696554043
7	0.791775403	1.68296238
8	0.8044539895	1.669431049
9	0.8056016123	1.656822401
10	0.8112280443	1.643909562
11	0.8296529982	1.629507786
12	0.8188267923	1.61890066
13	0.8265454756	1.606574394
14	0.7897760553	1.597860141
15	0.7889351552	1.584069263
16	0.7882141905	1.574087045
17	0.7934139643	1.562906527
18	0.7953344161	1.552464497
19	0.8009608481	1.540866669
20	0.7909755423	1.530219655
21	0.7905488842	1.51939546
22	0.79570921	1.507961826
23	0.7937887583	1.496557826
24	0.8009484319	1.485571411
25	0.8128417733	1.475524578
26	0.8215881441	1.465172709
27	0.8228270791	1.456054797
28	0.826413124	1.446416521
29	0.8212133502	1.437734121
30	0.8276126111	1.428078635
31	0.8323857268	1.416361284
32	0.8435581035	1.406103931
33	0.8415982037	1.396236592
34	0.8444114197	1.386444044
35	0.8472246358	1.378229553
36	0.8439847616	1.369181028
37	0.8491845355	1.359768677
38	0.8439847616	1.351393706
39	0.8467979776	1.342868289
40	0.8543843094	1.333637899
41	0.8539576513	1.326327384
42	0.8619706411	1.317819773
43	0.8571975254	1.309136596
44	0.8519977515	1.301101499
45	0.8563442091	1.291184739
46	0.8539576513	1.283926602
47	0.8595840833	1.27543231
48	0.8496111936	1.267675664
49	0.8515710934	1.259752709
50	0.8543843094	1.25212938
51	0.8600107414	1.243943343
52	0.8548109675	1.236079995
53	0.8683699021	1.228145557
54	0.8647838571	1.221353835
55	0.8711831181	1.21447158
56	0.8791961079	1.206449671
57	0.8763828919	1.201840739
58	0.8791961079	1.19479504
59	0.8927155945	1.188151631
60	0.8923694237	1.181399236
61	0.8943293235	1.174423023
62	0.8943293235	1.16803659
63	0.9007285844	1.161115376
64	0.9031151423	1.153997592
65	0.911900961	1.147252766
66	0.9107138902	1.140461839
67	0.9086735031	1.134673744
68	0.9079006742	1.128340906
69	0.9134466188	1.12186701
70	0.9170326638	1.115978493
71	0.9198458798	1.109822969
72	0.9250456536	1.10349148
73	0.9286316985	1.097696058
74	0.9334048143	1.091711693
75	0.9262327245	1.085879064
76	0.9262327245	1.080072131
77	0.9322053273	1.074274633
78	0.9334048143	1.068192811
79	0.9334048143	1.062736661
80	0.9334048143	1.056965588
81	0.9334048143	1.051368919
82	0.9334048143	1.045964057
83	0.9310182564	1.04070289
84	0.9310182564	1.035775716
85	0.9369908592	1.030447718
86	0.9369908592	1.025422171
87	0.9369908592	1.020052381
88	0.9369908592	1.015498575
89	0.9393774171	1.010550317
90	0.9369908592	1.005767607
91	0.9334048143	1.000794619
92	0.9381779301	0.9959812786
93	0.9381779301	0.9911797228
94	0.941763975	0.9862497859
95	0.941763975	0.9819847328
96	0.944577191	0.9767907431
97	0.9441505328	0.9721812084
98	0.9465370907	0.9675391295
99	0.9493503067	0.9627517737
100	0.9529363516	0.9583110631
101	0.9501231356	0.9536268872
102	0.9529363516	0.9484789485
103	0.9525096935	0.9437477461
104	0.9477365777	0.9400896399
105	0.9505497938	0.9356621523
106	0.9477365777	0.9313828176
107	0.9477365777	0.92710296
108	0.9477365777	0.9232752047
109	0.9525096935	0.9191260661
110	0.9501231356	0.9150161747
111	0.9501231356	0.9106919877
112	0.9501231356	0.9060515289
113	0.9553229095	0.9020486183
114	0.9529363516	0.8978166362
115	0.9548962514	0.8938110502
116	0.9548962514	0.8900605908
117	0.9600960253	0.8859900844
118	0.9577094674	0.8823190932
119	0.9600960253	0.8789069336
120	0.9600960253	0.8751085506
121	0.9600960253	0.8715443795
122	0.9600960253	0.8676937781
123	0.9600960253	0.8644475766
124	0.9600960253	0.8606370953
125	0.9600960253	0.8568824156
126	0.9600960253	0.8528062999
127	0.9600960253	0.8491247217
128	0.9636820702	0.8456892275
129	0.9660686281	0.8424524469
130	0.9712684019	0.838870151
131	0.9664952862	0.8352617486
132	0.9736549598	0.8322148175
133	0.9736549598	0.8287502685
134	0.9736549598	0.8252112106
135	0.9736549598	0.8216953337
136	0.9736549598	0.8180408773
137	0.9736549598	0.8149951096
138	0.9712684019	0.8116848894
139	0.9736549598	0.808278784
140	0.9736549598	0.8051222106
141	0.9736549598	0.8019181769
142	0.9736549598	0.7988906172
143	0.9736549598	0.7958724193
144	0.9736549598	0.7930258444
145	0.9736549598	0.7903015451
146	0.9760415177	0.787237869
147	0.9736549598	0.783990386
148	0.9760415177	0.7811591347
149	0.9736549598	0.7779267111
150	0.9760415177	0.77463917
151	0.9760415177	0.7715057678
152	0.9760415177	0.7682354
153	0.9760415177	0.7658833376
154	0.9760415177	0.7629347835
155	0.9760415177	0.7599720318
156	0.9712684019	0.7579198377
157	0.9736549598	0.7549206629
158	0.9772410047	0.7523274376
159	0.9796275626	0.7493148441
160	0.9796275626	0.7466271728
161	0.9796275626	0.7437554087
162	0.9796275626	0.7408093415
163	0.9796275626	0.7379482654
164	0.9796275626	0.7351909268
165	0.9796275626	0.7323580538
166	0.9796275626	0.7295660517
167	0.9796275626	0.7270617741
168	0.9820141205	0.7242752591
169	0.9820141205	0.721544842
170	0.9820141205	0.7187274677
171	0.9844006784	0.7162208853
172	0.9844006784	0.7135658794
173	0.9844006784	0.7111227526
174	0.9867872362	0.7085637846
175	0.9867872362	0.706091393
176	0.9844006784	0.7036162893
177	0.9867872362	0.7010109286
178	0.9867872362	0.6980728449
179	0.9867872362	0.6955642526
180	0.9867872362	0.6929321764
181	0.9867872362	0.6908350023
182	0.9867872362	0.6883647653
183	0.9867872362	0.6858902591
184	0.9867872362	0.6835078475
185	0.9867872362	0.6811053629
186	0.9867872362	0.6787539345
187	0.9867872362	0.6764510367
188	0.9867872362	0.6740986152
189	0.9867872362	0.671671046
190	0.9867872362	0.6694444194
191	0.9867872362	0.6670916667
192	0.9867872362	0.66516239
193	0.9867872362	0.663031033
194	0.9867872362	0.6606220752
195	0.9867872362	0.6583044511
196	0.9867872362	0.6559532347
197	0.9844006784	0.6534572539
198	0.9872138944	0.6512826543
199	0.9872138944	0.6490556688
200	0.9896004522	0.6466563382
201	0.9896004522	0.6442773112
202	0.9896004522	0.641932012
203	0.9896004522	0.6397238419
204	0.9896004522	0.6374575129
205	0.9896004522	0.6354534873
206	0.9896004522	0.6335429151
207	0.9896004522	0.6313580554
208	0.9896004522	0.6294080995
209	0.9896004522	0.6272394882
210	0.9896004522	0.625109337
211	0.9896004522	0.6230833932
212	0.9896004522	0.6210013639
213	0.9896004522	0.6188433909
214	0.9896004522	0.6169154615
215	0.9896004522	0.6148620481
216	0.9896004522	0.6128360977
217	0.9896004522	0.6106113538
218	0.9896004522	0.6084356566
219	0.9896004522	0.6063661762
220	0.9896004522	0.6041813445
221	0.9896004522	0.6021126589
222	0.9896004522	0.6002833393
223	0.9896004522	0.5984560207
224	0.9896004522	0.5964394292
225	0.9896004522	0.5945253572
226	0.9896004522	0.5926441726
227	0.9896004522	0.5906766915
228	0.9896004522	0.5889855407
229	0.9896004522	0.586979281
230	0.9896004522	0.5849799724
231	0.9896004522	0.5828697062
232	0.9896004522	0.5810563478
233	0.9896004522	0.5792436187
234	0.9896004522	0.5772782338
235	0.9896004522	0.5754400244
236	0.9896004522	0.5734948537
237	0.9896004522	0.5713654241
238	0.9896004522	0.5695603864
239	0.9896004522	0.5678472003
240	0.9896004522	0.5660444384
241	0.9896004522	0.5643805521
242	0.9896004522	0.5625711584
243	0.9896004522	0.5607630112
244	0.9896004522	0.5589883732
245	0.9896004522	0.5573391888
246	0.9896004522	0.5556937955
247	0.9896004522	0.5539639437
248	0.9896004522	0.5520092982
249	0.9896004522	0.5502883411
250	0.9896004522	0.5486007876
251	0.9896004522	0.54688278
252	0.9896004522	0.5451511103
253	0.9896004522	0.543477971
254	0.9896004522	0.5418712026
255	0.9896004522	0.5400930827
256	0.9896004522	0.5382493394
257	0.9896004522	0.5366656901
258	0.9896004522	0.534946808
259	0.9896004522	0.5334175542
260	0.9896004522	0.5317985241
261	0.9896004522	0.5300504563
262	0.9896004522	0.5282634813
263	0.9896004522	0.5266667364
264	0.9896004522	0.5252161523
265	0.9896004522	0.523639414
266	0.9896004522	0.5220945271
267	0.9896004522	0.5204286477
268	0.9896004522	0.5187725065
269	0.9896004522	0.5173588222
