iter	Passed	Remaining
0	14	11722
1	27	10949
2	41	10972
3	53	10584
4	67	10737
5	80	10594
6	92	10443
7	103	10280
8	115	10151
9	126	10003
10	138	9916
11	150	9867
12	153	9277
13	165	9300
14	166	8701
15	178	8752
16	190	8769
17	202	8783
18	213	8782
19	224	8774
20	237	8807
21	248	8801
22	260	8790
23	271	8780
24	283	8791
25	295	8797
26	307	8792
27	318	8777
28	330	8798
29	343	8809
30	354	8789
31	365	8783
32	377	8766
33	389	8783
34	401	8783
35	414	8799
36	426	8792
37	437	8768
38	448	8756
39	460	8747
40	471	8732
41	484	8737
42	497	8756
43	512	8807
44	524	8796
45	536	8798
46	548	8792
47	561	8803
48	573	8794
49	585	8783
50	598	8787
51	611	8789
52	622	8774
53	635	8777
54	647	8771
55	662	8806
56	674	8796
57	678	8675
58	689	8658
59	701	8648
60	712	8629
61	724	8622
62	730	8541
63	741	8522
64	752	8510
65	765	8511
66	776	8491
67	787	8473
68	798	8458
69	809	8444
70	822	8443
71	833	8432
72	845	8417
73	855	8397
74	868	8398
75	879	8378
76	881	8274
77	892	8260
78	903	8247
79	915	8240
80	927	8231
81	940	8233
82	954	8246
83	968	8256
84	981	8252
85	993	8249
86	1004	8234
87	1016	8222
88	1028	8213
89	1039	8203
90	1053	8204
91	1066	8204
92	1078	8202
93	1090	8190
94	1101	8176
95	1114	8169
96	1125	8160
97	1138	8155
98	1152	8162
99	1166	8165
100	1179	8165
101	1193	8163
102	1206	8164
103	1219	8162
104	1232	8159
105	1245	8152
106	1258	8149
107	1271	8148
108	1284	8145
109	1298	8143
110	1311	8141
111	1323	8132
112	1336	8126
113	1349	8120
114	1362	8114
115	1374	8106
116	1387	8098
117	1399	8086
118	1411	8077
119	1424	8071
120	1436	8063
121	1450	8060
122	1463	8055
123	1477	8054
124	1491	8055
125	1507	8063
126	1589	8423
127	1603	8415
128	1614	8399
129	1627	8389
130	1640	8376
131	1654	8370
132	1665	8353
133	1678	8344
134	1691	8330
135	1704	8321
136	1717	8312
137	1730	8300
138	1743	8293
139	1757	8283
140	1770	8277
141	1783	8264
142	1796	8253
143	1810	8247
144	1824	8239
145	1840	8242
146	1853	8235
147	1867	8228
148	1880	8216
149	1895	8213
150	1908	8203
151	1923	8202
152	1937	8191
153	1953	8193
154	2009	8362
155	2022	8350
156	2023	8288
157	2037	8278
158	2050	8267
159	2064	8256
160	2077	8243
161	2091	8235
162	2104	8224
163	2118	8216
164	2133	8209
165	2146	8199
166	2159	8185
167	2175	8182
168	2188	8172
169	2201	8159
170	2215	8147
171	2227	8134
172	2241	8122
173	2254	8110
174	2269	8105
175	2281	8090
176	2297	8086
177	2309	8070
178	2322	8056
179	2336	8049
180	2349	8033
181	2361	8017
182	2372	7999
183	2385	7985
184	2398	7972
185	2412	7962
186	2425	7951
187	2439	7941
188	2456	7942
189	2474	7945
190	2490	7942
191	2512	7954
192	2533	7969
193	2550	7966
194	2568	7968
195	2582	7958
196	2596	7948
197	2612	7943
198	2630	7945
199	2644	7932
200	2660	7927
201	2676	7922
202	2690	7911
203	2707	7909
204	2720	7895
205	2734	7884
206	2749	7877
207	2764	7868
208	2779	7860
209	2795	7854
210	2815	7858
211	2840	7879
212	2862	7889
213	2880	7886
214	2897	7883
215	2917	7888
216	2937	7891
217	2956	7893
218	2970	7881
219	2985	7870
220	3004	7872
221	3022	7870
222	3040	7866
223	3055	7856
224	3071	7848
225	3089	7846
226	3105	7838
227	3123	7834
228	3138	7826
229	3154	7818
230	3171	7813
231	3187	7805
232	3203	7796
233	3220	7789
234	3237	7784
235	3252	7772
236	3265	7756
237	3278	7740
238	3296	7738
239	3312	7729
240	3328	7721
241	3346	7716
242	3362	7707
243	3379	7701
244	3395	7692
245	3411	7682
246	3426	7671
247	3431	7637
248	3448	7630
249	3466	7627
250	3483	7620
251	3501	7615
252	3518	7606
253	3533	7595
254	3549	7586
255	3565	7577
256	3581	7566
257	3595	7554
258	3610	7542
259	3624	7528
260	3639	7516
261	3655	7506
262	3670	7494
263	3685	7482
264	3700	7469
265	3714	7456
266	3728	7443
267	3743	7431
268	3761	7424
269	3773	7407
270	3787	7393
271	3801	7378
272	3814	7362
273	3826	7345
274	3839	7329
275	3854	7317
276	3871	7309
277	3886	7298
278	3904	7290
279	3919	7279
280	3935	7267
281	3948	7253
282	3964	7243
283	3978	7228
284	3993	7215
285	4004	7197
286	4019	7184
287	4037	7177
288	4055	7171
289	4070	7159
290	4085	7146
291	4099	7132
292	4114	7119
293	4127	7104
294	4141	7089
295	4153	7072
296	4166	7055
297	4181	7044
298	4193	7026
299	4205	7009
300	4217	6991
301	4228	6973
302	4240	6955
303	4253	6939
304	4264	6921
305	4276	6904
306	4288	6886
307	4299	6867
308	4311	6850
309	4322	6833
310	4335	6816
311	4348	6801
312	4360	6785
313	4372	6768
314	4384	6751
315	4396	6733
316	4408	6717
317	4420	6699
318	4431	6682
319	4444	6667
320	4457	6652
321	4471	6638
322	4484	6622
323	4497	6607
324	4511	6593
325	4524	6579
326	4539	6566
327	4559	6560
328	4577	6553
329	4609	6564
330	4631	6562
331	4655	6562
332	4675	6556
333	4698	6555
334	4729	6564
335	4757	6569
336	4776	6562
337	4793	6551
338	4809	6540
339	4828	6533
340	4847	6524
341	4859	6508
342	4882	6505
343	4902	6498
344	4924	6494
345	4949	6494
346	4989	6513
347	5019	6519
348	5040	6513
349	5063	6510
350	5086	6506
351	5105	6497
352	5123	6488
353	5141	6478
354	5162	6470
355	5181	6462
356	5201	6454
357	5222	6447
358	5243	6441
359	5262	6431
360	5281	6423
361	5301	6414
362	5318	6402
363	5337	6392
364	5358	6386
365	5377	6376
366	5396	6367
367	5413	6355
368	5433	6346
369	5447	6330
370	5461	6315
371	5475	6299
372	5490	6285
373	5506	6271
374	5520	6256
375	5533	6240
376	5547	6224
377	5561	6208
378	5574	6192
379	5588	6176
380	5601	6160
381	5615	6144
382	5628	6128
383	5642	6112
384	5656	6096
385	5669	6081
386	5683	6064
387	5695	6048
388	5708	6031
389	5721	6015
390	5735	5999
391	5749	5983
392	5764	5969
393	5778	5954
394	5791	5938
395	5806	5923
396	5820	5908
397	5835	5893
398	5853	5882
399	5867	5867
400	5880	5851
401	5894	5836
402	5907	5819
403	5920	5803
404	5934	5787
