Crop,Zone,Latitude,Longitude,Temperature,Humidity,Soil_Moisture,Rainfall,Soil_pH
Chili,Wet Zone,6.499264,80.940857,29.7,76.9,29.4,890.0,5.15
Chili,Dry Zone,9.098528,81.401673,29.3,50.9,78.2,2581.1,5.53
Pepper,Dry Zone,7.045475,80.775107,22.9,73.6,45.9,1228.1,6.53
Tea,Wet Zone,6.12319,80.150574,23.9,70.5,67.1,999.2,6.29
Black Gram,Wet Zone,6.847863,79.85574,27.7,57.7,23.9,2872.2,7.41
Coffee,Intermediate Zone,8.020993,80.456921,19.6,80.8,46.4,805.1,6.24
Rubber,Dry Zone,6.603166,81.863981,22.1,79.8,38.7,1800.2,6.37
Tea,Dry Zone,7.054563,81.954377,30.4,92.3,73.7,1994.7,7.3
Rubber,Wet Zone,6.041588,80.035179,18.7,64.6,43.3,1178.4,7.07
Black Gram,Intermediate Zone,6.891883,80.421402,26.7,56.3,68.1,686.4,7.47
Banana,Upcountry,7.040571,80.599358,18.1,86.7,62.4,2322.5,6.93
Cinnamon,Wet Zone,6.018471,80.230159,19.9,88.8,57.4,1327.2,5.16
Papaya,Wet Zone,6.397572,80.19022,29.7,78.7,73.2,1680.5,5.3
Cinnamon,Intermediate Zone,7.783112,81.141178,27.0,84.7,49.6,1806.8,6.07
Tea,Upcountry,6.517793,80.553946,18.5,78.6,38.9,1771.4,7.27
Coconut,Dry Zone,7.247877,81.115574,30.1,60.3,24.6,1224.4,5.4
Chili,Intermediate Zone,8.324244,81.212181,28.1,89.2,68.2,966.4,7.23
Chili,Upcountry,6.87754,80.90372,32.3,64.3,26.6,1069.8,6.07
Chili,Dry Zone,8.954044,81.791096,18.1,73.0,45.0,1055.3,5.3
Tomato,Dry Zone,7.512846,81.914365,23.2,73.3,62.2,1409.1,7.43
Tea,Intermediate Zone,8.406118,80.377673,26.0,63.5,37.1,592.2,6.52
Onion,Wet Zone,6.704286,79.861775,22.5,90.9,34.4,862.2,6.22
Potato,Intermediate Zone,8.464126,80.363083,28.8,84.3,34.3,2320.5,5.92
Coffee,Wet Zone,6.911689,80.560236,26.6,54.1,70.1,1302.0,5.47
Tea,Dry Zone,6.622325,81.386339,28.8,50.7,50.7,1066.2,6.61
Tea,Intermediate Zone,6.435916,81.036407,24.2,92.2,28.3,1352.7,5.28
Tea,Wet Zone,7.37951,80.852807,22.1,79.7,69.0,1888.0,6.32
Carrot,Upcountry,6.669297,80.546551,32.4,90.5,58.0,1347.6,5.87
